,job,location,date,company
0,Adjunct Faculty - Public Policy and Administration (MPA),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,The American University in Cairo
1,Head of Offline Sales,"Le Caire, Le Caire, Égypte",Il y a 5 jours,Jumia Group
2,Head Of Planning & Performance - Jumia (Full Time),"Le Caire, Le Caire, Égypte",Il y a 5 jours,Jumia Group
3,Adjunct Faculty - Computer Science and Engineering,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,The American University in Cairo
4,Sales Representative,"Le Caire, Égypte Sur site",Il y a 3 jours,The American University in Cairo
5,Solutions Architect,"Le Caire, Égypte Sur site",Il y a 4 jours,Agoda
6,Associate/Professor of Practice in Finance and CIB Endowed Chair,"Le Caire, Le Caire, Égypte Sur site",Il y a 3 mois,Souq.com
7,"Senior Analyst, Partner Communications(Bangkok based, Relocation provided)","Le Caire, Le Caire, Égypte",Il y a 1 semaine,The American University in Cairo
8,Senior Area Manager,"Le Caire, Le Caire, Égypte Sur site",Il y a 5 jours,The American University in Cairo
9,Philosophy Faculty Positions (Analytic Philosophy and Logic),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,The American University in Cairo
10,Philosophy Faculty Positions (Arab and Islamic Philosophy),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Jumia Group
11,Mechanical Engineering,"Le Caire, Le Caire, Égypte Sur site",Il y a 4 mois,Jumia Group
12,Technical Agile Coach - Jumia ( Full Time ) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 2 semaines,Agoda
13,Senior Java Software Engineer - Jumia (Full Time) - Alexandria,"Alexandrie, Alexandrie, Égypte Sur site",Il y a 1 mois,Pioneers Solutions
14,"Senior Software Engineer – Android (Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,Canonical
15,مسئولة مبيعات,"Menufeya, Égypte Sur site",Il y a 6 jours,The American University in Cairo
16,Social Media Manager,"Le Caire, Le Caire, Égypte À distance",Il y a 4 semaines,JobnetAfrica
17,Adjunct Faculty - Public Policy and Administration (MGA),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Agoda
18,Business Development Specialist,"Le Caire, Égypte Sur site",Il y a 2 semaines,The American University in Cairo
19,"Senior Software Engineer – Android (Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
20,Assistant/Associate Professor in Integrated Marketing Communication (IMC),"Le Caire, Le Caire, Égypte Sur site",Il y a 1 mois,Agoda
21,"Lead/Staff Software Engineer – Android (Bangkok based, relocation provided)","Alexandrie, Alexandrie, Égypte",Il y a 2 semaines,ELSEWEDY ELECTRIC
22,"Lead/Staff Software Engineer – Android (Bangkok based, relocation provided)","Gizeh, Gizeh, Égypte",Il y a 2 semaines,Agoda
23,Mechanical Maintenance Engineer,"10th of Ramadan, Est, Égypte Sur site",Il y a 3 semaines,
24,"Lead/Staff Software Engineer – Android (Bangkok based, relocation provided)","Le Caire, Le Caire, Égypte",Il y a 2 semaines,
